tmdbId,title,genres,info,tmdburl,rating_count,rating_avg,poster_path,year,trailer_url
11224,Cinderella,"Family, Fantasy, Animation, Romance","Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",https://www.themoviedb.org/movie/11224,6620,7.046,https://image.tmdb.org/t/p/original/4nssBcQUBadCTBjrAkX46mVEKts.jpg,1950,https://www.youtube.com/watch?v=yyDJWRMSeTw
20758,Father of the Bride,"Comedy, Romance, Drama","Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.",https://www.themoviedb.org/movie/20758,199,7.0,https://image.tmdb.org/t/p/original/sygyqqXq41SBZiYjY8nuQRAcuUv.jpg,1950,https://www.youtube.com/watch?v=7EMQgVqta_M
599,Sunset Boulevard,Drama,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,https://www.themoviedb.org/movie/599,2538,8.31,https://image.tmdb.org/t/p/original/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,1950,https://www.youtube.com/watch?v=_dY0SVxnHjQ
11617,Rio Grande,Western,"Lt. Col. Kirby Yorke is posted on the Texas frontier to defend settlers against depredations of marauding Apaches. Col. Yorke is under considerable stress by a serious shortage of troops of his command. Tension is added when Yorke's son (whom he hasn't seen in fifteen years), Trooper Jeff Yorke, is one of 18 recruits sent to the regiment.",https://www.themoviedb.org/movie/11617,322,6.821,https://image.tmdb.org/t/p/original/zYoK2RkBCmyhIV6UUb6EZLqxmZq.jpg,1950,https://www.youtube.com/watch?v=vDLoMsAhY-8
548,Rashomon,"Crime, Drama, Mystery","Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",https://www.themoviedb.org/movie/548,2174,8.087,https://image.tmdb.org/t/p/original/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg,1950,https://www.youtube.com/watch?v=L2E_DfExUmU
17057,In a Lonely Place,"Drama, Romance, Mystery, Crime","A screenwriter with a violent temper is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",https://www.themoviedb.org/movie/17057,566,7.6,https://image.tmdb.org/t/p/original/mR72XsO7EQu3uH8TeqPxMd9V8mW.jpg,1950,https://www.youtube.com/watch?v=68C2IFX60CU
705,All About Eve,Drama,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",https://www.themoviedb.org/movie/705,1508,8.098,https://image.tmdb.org/t/p/original/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,1950,https://www.youtube.com/watch?v=ktG-ilbXbtI
102144,Mister 880,"Comedy, Crime, Romance","The Skipper is a charming old man loved by all his neighbors. What they don't know is that he is also Mr. 880, an amateurish counterfeiter who has amazingly managed to elude the Secret Service for 20 years.",https://www.themoviedb.org/movie/102144,28,7.0,https://image.tmdb.org/t/p/original/aEYs8GpSqpssqPWaIS9XXOBeY8o.jpg,1950,https://www.youtube.com/watch?v=3Xk2oPkKuAI
1978,Stage Fright,Thriller,A struggling actress tries to help a friend prove his innocence when he's accused of murdering the husband of a high-society entertainer.,https://www.themoviedb.org/movie/1978,319,6.776,https://image.tmdb.org/t/p/original/l43OTqhib8do1WwXig8JI8Y68Fd.jpg,1950,https://www.youtube.com/watch?v=oRvWOz1-ekY
22924,Armored Car Robbery,"Thriller, Crime","While executing an armored car heist in Los Angeles, icy crook Dave Purvis shoots policeman Lt. Phillips before he and his cronies make off with the loot. Thinking he got away scot-free, Purvis collects his money-crazy mistress, Yvonne, then disposes of his partners and heads out of town. What Purvis doesn't know is that Phillips' partner, tough-as-nails Lt. Cordell, is wise to the criminal's plans and is closing in on his prey.",https://www.themoviedb.org/movie/22924,60,6.6,https://image.tmdb.org/t/p/original/1cYOPFbHEEXcXq8VYlJI5h2QpIe.jpg,1950,
